,EDUCATION,SOUTH,SEX,EXPERIENCE,UNION,AGE,RACE,OCCUPATION,SECTOR,MARR,WAGE
409,14,no,male,4,member,24,Hispanic,Service,Other,Unmarried,25.0
410,14,no,male,34,member,54,Other,Service,Other,Married,6.85
411,11,yes,male,39,not_member,56,White,Service,Other,Married,6.5
412,12,yes,female,17,not_member,35,White,Service,Other,Married,3.75
413,9,no,male,47,member,62,White,Service,Other,Married,3.5
414,11,no,male,2,not_member,19,White,Service,Other,Unmarried,4.5
415,13,yes,male,0,not_member,19,White,Service,Other,Unmarried,2.01
416,14,no,female,24,not_member,44,White,Service,Other,Unmarried,4.17
417,12,no,male,25,member,43,Other,Service,Other,Married,13.0
418,14,no,female,6,not_member,26,White,Service,Other,Unmarried,3.98
419,12,no,female,10,not_member,28,White,Service,Other,Unmarried,7.5
420,12,no,female,33,not_member,51,Other,Service,Other,Married,13.12
421,12,no,male,12,not_member,30,White,Service,Other,Unmarried,4.0
422,12,yes,female,9,not_member,27,White,Service,Other,Married,3.95
423,11,yes,male,18,member,35,White,Service,Other,Married,13.0
424,12,no,male,10,not_member,28,White,Service,Other,Married,9.0
425,8,yes,female,45,not_member,59,White,Service,Other,Unmarried,4.55
426,9,no,female,46,member,61,White,Service,Other,Married,9.5
427,7,yes,male,14,not_member,27,Hispanic,Service,Other,Married,4.5
428,11,no,female,36,not_member,53,White,Service,Other,Unmarried,8.75
429,13,no,male,34,member,53,White,Professional,Construction,Married,10.0
430,18,no,male,15,not_member,39,White,Professional,Other,Married,18.0
431,17,no,male,31,not_member,54,White,Professional,Manufacturing,Married,24.98
432,16,no,female,6,not_member,28,White,Professional,Manufacturing,Unmarried,12.05
433,14,yes,male,15,not_member,35,White,Professional,Other,Married,22.0
434,12,no,male,30,not_member,48,White,Professional,Other,Married,8.75
435,18,no,male,8,not_member,32,White,Professional,Other,Married,22.2
436,18,no,male,5,not_member,29,White,Professional,Manufacturing,Married,17.25
437,17,no,female,3,member,26,White,Professional,Other,Unmarried,6.0
438,13,yes,male,17,not_member,36,White,Professional,Other,Married,8.06
439,16,no,male,5,member,27,Other,Professional,Manufacturing,Married,9.24
440,14,no,female,10,not_member,30,White,Professional,Other,Married,12.0
441,15,no,female,33,not_member,54,White,Professional,Other,Unmarried,10.61
442,18,no,male,3,not_member,27,White,Professional,Other,Married,5.71
443,16,no,female,0,not_member,18,White,Professional,Other,Unmarried,10.0
444,16,yes,male,13,not_member,35,Other,Professional,Other,Married,17.5
445,18,no,male,12,not_member,36,White,Professional,Other,Married,15.0
446,16,no,female,6,not_member,28,White,Professional,Other,Married,7.78
447,17,no,male,7,not_member,30,White,Professional,Other,Married,7.8
448,16,yes,male,14,member,36,White,Professional,Other,Married,10.0
449,17,no,female,5,not_member,28,White,Professional,Other,Unmarried,24.98
450,15,yes,female,10,not_member,31,White,Professional,Other,Married,10.28
451,18,no,female,11,not_member,35,White,Professional,Other,Married,15.0
452,17,no,female,24,not_member,47,White,Professional,Other,Married,12.0
453,16,no,male,9,not_member,31,White,Professional,Manufacturing,Unmarried,10.58
454,18,yes,male,12,not_member,36,White,Professional,Other,Married,5.85
455,18,no,male,19,not_member,43,White,Professional,Other,Married,11.22
456,14,no,female,14,not_member,34,White,Professional,Other,Married,8.56
457,16,no,female,17,not_member,39,White,Professional,Manufacturing,Unmarried,13.89
458,18,yes,male,7,not_member,31,White,Professional,Other,Unmarried,5.71
459,18,no,male,7,not_member,31,White,Professional,Other,Married,15.79
460,16,no,female,22,not_member,44,White,Professional,Other,Married,7.5
461,12,no,female,28,not_member,46,White,Professional,Other,Married,11.25
462,16,no,female,16,not_member,38,White,Professional,Other,Unmarried,6.15
463,16,yes,male,16,not_member,38,Other,Professional,Other,Unmarried,13.45
464,16,no,female,7,not_member,29,White,Professional,Other,Married,6.25
465,12,no,female,11,not_member,29,White,Professional,Other,Unmarried,6.5
466,12,no,female,11,not_member,29,White,Professional,Other,Married,12.0
467,12,no,female,16,not_member,34,White,Professional,Other,Unmarried,8.5
468,18,no,male,33,member,57,White,Professional,Other,Unmarried,8.0
469,12,yes,female,21,not_member,39,White,Professional,Other,Married,5.75
470,16,no,male,4,not_member,26,White,Professional,Manufacturing,Married,15.73
471,15,no,male,13,not_member,34,White,Professional,Other,Married,9.86
472,18,no,male,14,member,38,White,Professional,Other,Married,13.51
473,16,no,female,10,not_member,32,White,Professional,Other,Married,5.4
474,18,yes,male,14,not_member,38,White,Professional,Other,Married,6.25
475,16,yes,male,29,not_member,51,White,Professional,Other,Married,5.5
476,12,no,male,4,not_member,22,Hispanic,Professional,Other,Unmarried,5.0
477,18,no,male,27,not_member,51,Other,Professional,Other,Married,6.25
478,12,no,male,3,not_member,21,White,Professional,Other,Married,5.75
479,16,yes,male,14,member,36,White,Professional,Other,Married,20.5
480,14,no,male,0,not_member,20,White,Professional,Construction,Married,5.0
481,18,no,male,33,not_member,57,White,Professional,Other,Married,7.0
482,16,yes,male,38,not_member,60,White,Professional,Other,Married,18.0
483,18,no,female,18,member,42,White,Professional,Other,Married,12.0
484,17,no,male,3,not_member,26,White,Professional,Manufacturing,Unmarried,20.4
485,18,no,female,40,not_member,64,White,Professional,Other,Unmarried,22.2
486,14,no,male,19,not_member,39,White,Professional,Manufacturing,Unmarried,16.42
487,14,no,female,4,not_member,24,White,Professional,Other,Unmarried,8.63
488,16,no,female,11,not_member,33,White,Professional,Other,Married,19.38
489,16,no,female,16,not_member,38,White,Professional,Other,Married,14.0
490,14,no,male,22,not_member,42,White,Professional,Other,Married,10.0
491,17,no,female,13,member,36,White,Professional,Other,Unmarried,15.95
492,16,yes,female,28,member,50,White,Professional,Other,Married,20.0
493,16,no,female,10,not_member,32,White,Professional,Other,Married,10.0
494,16,yes,female,5,not_member,27,White,Professional,Other,Unmarried,24.98
495,15,no,male,5,not_member,26,White,Professional,Other,Unmarried,11.25
496,18,no,female,37,not_member,61,White,Professional,Manufacturing,Unmarried,22.83
497,17,no,female,26,member,49,White,Professional,Other,Married,10.2
498,16,yes,female,4,not_member,26,White,Professional,Other,Married,10.0
499,18,no,female,31,member,55,White,Professional,Other,Unmarried,14.0
500,17,no,female,13,member,36,White,Professional,Other,Married,12.5
501,12,no,female,42,not_member,60,White,Professional,Other,Married,5.79
502,17,no,male,18,not_member,41,Hispanic,Professional,Other,Married,24.98
503,12,no,female,3,not_member,21,White,Professional,Other,Married,4.35
504,17,no,female,10,not_member,33,White,Professional,Other,Unmarried,11.25
505,16,no,female,10,member,32,White,Professional,Other,Unmarried,6.67
506,16,no,female,17,not_member,39,Hispanic,Professional,Other,Married,8.0
507,18,no,male,7,not_member,31,White,Professional,Other,Married,18.16
508,16,no,female,14,not_member,36,White,Professional,Other,Married,12.0
509,16,no,female,22,member,44,White,Professional,Other,Married,8.89
510,17,no,female,14,not_member,37,White,Professional,Other,Married,9.5
511,16,no,male,11,not_member,33,White,Professional,Other,Married,13.65
512,18,no,male,23,member,47,White,Professional,Other,Married,12.0
513,12,no,male,39,member,57,White,Professional,Other,Married,15.0
514,16,no,male,15,not_member,37,White,Professional,Other,Married,12.67
515,14,no,female,15,not_member,35,Hispanic,Professional,Other,Unmarried,7.38
516,16,no,male,10,not_member,32,White,Professional,Other,Unmarried,15.56
517,12,yes,female,25,not_member,43,White,Professional,Other,Unmarried,7.45
518,14,no,female,12,not_member,32,White,Professional,Other,Married,6.25
519,16,yes,female,7,not_member,29,Hispanic,Professional,Other,Married,6.25
520,17,no,male,7,member,30,White,Professional,Other,Married,9.37
521,16,no,male,17,not_member,39,White,Professional,Manufacturing,Married,22.5
522,16,no,male,10,member,32,White,Professional,Other,Married,7.5
523,17,yes,male,2,not_member,25,White,Professional,Other,Married,7.0
524,9,yes,female,34,member,49,Other,Professional,Other,Married,5.75
525,15,no,female,11,not_member,32,White,Professional,Other,Married,7.67
526,15,no,male,10,not_member,31,White,Professional,Other,Unmarried,12.5
527,12,yes,male,12,not_member,30,White,Professional,Other,Married,16.0
528,16,no,female,6,member,28,White,Professional,Other,Unmarried,11.79
529,18,no,male,5,not_member,29,White,Professional,Other,Unmarried,11.36
530,12,no,female,33,not_member,51,Other,Professional,Other,Married,6.1
531,17,no,female,25,member,48,Other,Professional,Other,Married,23.25
532,12,yes,male,13,member,31,White,Professional,Other,Married,19.88
533,16,no,male,33,not_member,55,White,Professional,Manufacturing,Married,15.38
